Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,-9999,Year
1,Chris Holt,20,NYR,1,,0,0,0,0,2,2,1,0,0,0,10,,,,,,0,0,0,0,holtch01,2006
2,Cristobal Huet,30,MTL,36,,18,11,4,77,1085,1008,0.929,2.2,7,9.7,2103,,,,72,30.12,0,0,0,0,huetcr01,2006
3,Dominik Hašek*,41,OTT,43,,28,10,4,90,1202,1112,0.925,2.09,5,10.3,2584,,,,76,28.68,0,0,0,16,hasekdo01,2006
4,Jean-Sébastien Aubin,28,TOR,11,,9,0,2,25,330,305,0.924,2.21,1,2.8,677,,,,77,7.58,0,0,0,0,aubinje01,2006
5,Miikka Kiprusoff,29,CGY,74,,42,20,11,151,1951,1800,0.923,2.07,10,16.2,4380,,,,78,41.63,0,2,2,10,kiprumi01,2006
6,Henrik Lundqvist*,23,NYR,53,,30,12,9,116,1485,1369,0.922,2.24,2,12.2,3112,,,,79,30.62,0,2,2,0,lundqhe01,2006
7,Nolan Schaefer,26,SJS,7,,5,1,0,11,138,127,0.92,1.88,1,1.1,352,,,,,,0,0,0,2,schaeno01,2006
8,Manny Fernandez,31,MIN,58,,30,18,7,130,1612,1482,0.919,2.29,1,12.8,3411,,,,82,29.16,0,3,3,6,fernama01,2006
9,Tomáš Vokoun,29,NSH,61,,36,18,7,160,1984,1824,0.919,2.67,4,15.8,3601,,,,82,35.88,0,2,2,26,vokouto01,2006
10,Tim Thomas,31,BOS,38,,12,13,10,101,1213,1112,0.917,2.77,1,9.3,2187,,,,84,18.76,0,1,1,4,thomati01,2006
11,Manny Legace,32,DET,51,,37,8,3,106,1244,1138,0.915,2.19,7,9.3,2905,,,,86,16.82,0,1,1,0,legacma01,2006
12,Roberto Luongo*,26,FLA,75,,35,30,9,213,2488,2275,0.914,2.97,4,18.5,4305,,,,87,32.64,0,3,3,2,luongro01,2006
13,Ryan Miller,25,BUF,48,,30,14,3,124,1440,1316,0.914,2.6,1,10.6,2862,,,,87,18.17,0,2,2,0,millery01,2006
14,Hannu Toivonen,21,BOS,20,,9,5,4,51,590,539,0.914,2.63,1,4.3,1163,,,,88,7.25,0,0,0,6,toivoha01,2006
15,Chris Mason,29,NSH,23,,12,5,1,52,597,545,0.913,2.54,2,4.3,1227,,,,88,6.94,1,0,1,0,masonch02,2006
16,Martin Brodeur*,33,NJD,73,,43,23,7,187,2105,1918,0.911,2.57,5,14.9,4365,,,,90,20.83,0,3,3,4,brodema01,2006
17,Jean-Sébastien Giguère,28,MDA,60,,30,15,11,150,1692,1542,0.911,2.62,2,12,3381,,,,90,17.05,0,0,0,20,gigueje01,2006
18,Pascal Leclaire,23,CBJ,33,,11,15,3,97,1084,987,0.911,3.23,0,7.6,1804,,,,91,10.03,0,1,1,2,leclapa01,2006
